# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
26.218750	1.5856627e-44	9.6760735e-46	5.4906546e-44
26.226562	1.5823244e-44	9.6580413e-46	5.4789224e-44
26.234375	1.5789951e-44	9.6400537e-46	5.4672280e-44
26.242188	1.5756747e-44	9.6221107e-46	5.4555712e-44
26.250000	1.5723633e-44	9.6042122e-46	5.4439520e-44
26.257812	1.5690608e-44	9.5863579e-46	5.4323702e-44
26.265625	1.5657671e-44	9.5685479e-46	5.4208255e-44
26.273438	1.5624823e-44	9.5507819e-46	5.4093179e-44
26.281250	1.5592063e-44	9.5330599e-46	5.3978472e-44
26.289062	1.5559391e-44	9.5153817e-46	5.3864133e-44
